edad,ingreso_mensual,antiguedad_cliente,saldo_promedio,cantidad_productos,transacciones_mensuales,uso_banca_digital,deuda_vigente
33,1187224.1895817374,3.7685753967360585,327955.2604979982,2,36.682619712304785,56.74226908925047,5607063.62732155
23,805220.950869539,2.3315874555166225,222298.43362358416,2,46.60236051825422,81.03727981033846,415814.4108393197
61,5072503.2977367425,18.607886324374174,6563730.036706431,7,48.8232956620605,58.11874807433239,2104868.2486644015
40,1758074.3198196078,3.829426024835197,1380473.1321016222,3,60.57740969919206,78.56468428995626,2867756.472176367
54,3643012.3903903337,17.40565153953836,7189198.694867614,7,43.44450308564562,69.42591606985657,1064639.2579428158
53,4471734.96571084,10.368397018167968,7995189.747523425,6,36.73679625597255,51.094504201524124,1526650.8137908448
38,1836564.037019071,3.917769321296593,743205.0227818422,3,44.088266072356575,62.12509526347337,3173658.4424103405
43,1531565.1821467073,6.6520791633882155,416980.7830033581,3,36.80567413538938,77.02339894003376,6585021.618245172
24,1035074.0946478394,2.2763714979486225,459096.66577767633,1,58.935684702469,87.56067458439902,561040.4935033588
62,4629073.238394828,15.048076241694103,6579510.008404369,5,33.231156774325385,41.97616637170907,2284767.4020379554
18,860959.8292881325,2.492344985822084,117016.49621190352,1,57.71631297938268,96.28615738427098,290435.0593289408
57,4488480.229249946,14.378461099570707,7602568.186908238,7,49.145986848529674,36.82479872644666,1569805.5869769382
53,4760649.181970999,18.318915448685395,7051016.454002556,6,52.54177343510973,48.6785717626164,1753093.584573431
38,1612656.5383102412,8.602010731039151,710945.3183277611,5,69.10526510865532,84.23068650510847,2405477.3528240663
27,489265.93446312676,2.431421120660688,356319.6377061637,2,51.50559392052227,94.40740556723324,337223.7216630698
21,900076.022757975,2.1801650251848694,175008.20061913165,2,40.405113913134265,77.56685410507764,989723.620484665
39,1773932.8669326599,5.831307633371494,1241492.3817401882,5,72.84178273579023,84.09930134655292,2771663.348867464
24,841880.9902257406,2.7569591618884233,295366.9595322048,2,31.130871042956954,88.9644729589855,576720.5444286051
49,1524296.0631183533,6.7211876972652815,326858.6824515972,3,36.456951997913876,69.80050508619202,5565156.172695229
32,1316604.692587378,6.942877405977569,395989.1191385806,4,39.820016923539846,50.8927171717776,5994934.647286195
33,1402339.2485000943,4.514067720546253,838920.5586878762,3,62.999243085434316,75.16279451687197,2832188.4059384447
42,1289524.319307109,4.603009595145683,616548.0828500133,4,39.108742615957325,73.40227829856181,7087399.292210881
49,1416801.1207142733,7.707658899136428,416833.2168005446,4,21.07019946401607,54.49008666198075,5826159.165877315
45,1882328.5526119466,4.97164162946267,805699.4970375858,4,81.70519107177388,77.85712906800464,2304902.710884011
52,1870182.709642651,6.65016723321052,467183.9962817416,3,36.30440337790644,48.47076571549002,6434486.465005779
26,931723.406796634,1.2725830241496094,162977.67527925255,1,42.031897891101266,84.61076934169692,797907.0808208426
61,4354127.989272231,10.8940692643336,5704651.308049027,7,38.10175027804726,44.24526838831625,1819069.1168633807
37,1852408.0244737794,6.517603504434174,1758479.8778240483,4,53.79569182197714,75.88378194623382,2554951.5973276175
33,1671166.6369202023,8.082202873283547,683466.444383166,3,74.70477957030815,86.71828073805827,1263328.2969183377
22,860144.717006162,2.3007067568084514,329498.52144227515,1,31.321483325369748,86.76245364931358,258354.1466028023
36,2006652.0289789648,7.151405579578203,976828.0316477048,3,59.48901890940848,68.91566906045665,2353256.1794156497
39,1578293.1513676858,10.78837748964803,1899006.7651689912,5,66.14280897617235,78.40944967078732,1918377.0057791884
36,1683065.8595347924,10.998144221371646,1389389.9085108566,4,53.0569768609764,62.85310858372979,2622204.762553772
36,1583982.0909245668,8.459800033922832,1065046.8476283618,4,71.39744885866656,63.36761225267759,2870249.9936840893
38,2017686.3474471003,4.440807747126408,1651498.622682439,5,61.42528870877954,71.84152574606506,1623899.7078103418
27,843809.3730272378,2.6185020776932895,277134.7374751355,2,44.182841478036906,82.80912457840029,757819.2057383843
46,1335361.4264547194,4.584238968211368,239953.9986021436,3,29.611018063611453,53.39131616375827,4561624.972914931
49,4889106.174814984,15.960918848047832,8433391.106419174,8,34.50586756032076,73.55927577946206,1686023.5654631613
35,1711491.771591384,6.0178980811337945,800116.0026934668,5,34.294796163222,90.35864612139274,1970418.8886509154
21,970167.0591202313,2.6213300148815804,451124.211985185,1,36.37584293134174,82.65018254554512,432436.43764374807
21,1043315.5371518546,1.7001826161024403,260205.6588999087,2,52.06636236352825,90.4492522958981,636656.9323080542
24,1649666.276534852,3.4739471423015313,459172.0079370054,3,37.38812162519096,74.88427443808854,6729057.845859124
26,954100.3525586291,2.761922593626711,444011.32850349566,1,37.57668539635355,100.89677320497627,538991.312786598
36,1932521.1269491476,4.885014801709543,1142864.4442904613,5,59.837870020509,86.64763864140691,2763759.5396737917
44,1378622.2722441251,8.40908302395069,242260.22130937388,4,36.64137211711382,51.26240307171048,7579114.563641323
31,2023523.8282478866,5.072101593751869,1227275.2042294021,4,31.61379179371677,64.35527874346916,2462241.8808499947
39,1354709.9352394731,7.4523118165466835,887359.6479700358,5,52.88429158617213,86.79708279702041,2752903.654453151
46,1242896.3495776018,6.683811850929913,1061293.8393364877,4,54.101871091767954,68.18801278738586,2534953.096468038
20,701256.8293649706,1.625115924818517,211641.26874719793,1,40.23966381178439,76.79559136080704,493351.9749433077
63,1413365.0217462901,4.296770989660055,537347.1087349426,3,37.146231771571316,60.65105496862016,5646269.647294003
70,5610473.405017472,16.077563491786417,8295077.552868779,7,44.12723519605306,58.75181218557746,2014057.5422125964
17,770404.6784145518,1.6790124161469189,533413.8391568515,2,36.218394314591855,86.07081363339843,675581.569459014
49,4523712.192760921,16.213367351803225,7682363.038969032,7,39.28144752482355,64.19474641402094,1726550.5133171494
21,1002494.4784704624,0.4025057263582088,294126.42089996976,2,46.84271184591663,93.79949536713563,682368.7589823208
42,1610852.1576090124,7.06935048734616,1026736.0021586305,4,86.21929792042756,57.80102485940294,2515271.2333692242
54,1482618.4724006094,5.755210833075176,311071.7612287924,2,44.10015298858679,56.96820317241429,6456608.108838815
57,3801922.9502317775,19.90387063015502,6927933.262391499,6,32.10951370775426,60.58040672647947,2083845.5150822615
49,1490787.5137412231,5.136858932200731,438229.1240104804,3,29.553101556648457,68.34235275868927,6232462.2744811205
53,4388226.450004319,17.420424547950226,5540451.965664959,8,35.84815271224016,43.09137608905425,1597354.5620712643
19,1136013.5314980845,0.712038985641972,375836.53457161726,2,52.11170019719778,92.7915033632819,359878.4098809977
